Date,BTC_price,BTC_volume
12/27/2013,734.27,62881800
12/28/2013,738.81,28121600
12/29/2013,726.47,27018300
12/30/2013,760.52,24717100
12/31/2013,755.16,21903500
1/1/2014,767.74,23448600
1/2/2014,772.53,16837800
1/3/2014,825.47,54171500
1/4/2014,849.14,36344700
1/5/2014,919.41,62414600
1/6/2014,936.38,88584600
1/7/2014,826.5,80268100
1/8/2014,838.32,78060300
1/9/2014,853.29,58813600
1/10/2014,863.3,29763600
1/11/2014,905.72,48299500
1/12/2014,867.45,40171100
1/13/2014,840.96,42950500
1/14/2014,838.05,23469400
1/15/2014,860.44,28600400
1/16/2014,837.98,18719700
1/17/2014,812.9,39266000
1/18/2014,840,18052700
1/19/2014,838.17,17574100
1/20/2014,869.15,25421600
1/21/2014,869.57,26779700
1/22/2014,865.03,17879900
1/23/2014,846.97,18412100
1/24/2014,808.32,20176000
1/25/2014,804.39,31742800
1/26/2014,853.51,22676800
1/27/2014,891.86,32539200
1/28/2014,777,61878700
1/29/2014,816.85,33409200
1/30/2014,817.17,16261700
1/31/2014,817.93,31107400
2/1/2014,832.52,14722200
2/2/2014,836.41,19347600
2/3/2014,813.38,12759200
2/4/2014,832.36,14823400
2/5/2014,830.92,15706200
2/6/2014,805.08,47441900
2/7/2014,721.32,65733100
2/8/2014,701.61,86940400
2/9/2014,672.07,34864400
2/10/2014,689.65,38527400
2/11/2014,697.76,121884000
2/12/2014,655.26,65970400
2/13/2014,651.91,19109100
2/14/2014,623.57,90917600
2/15/2014,644.1,57350800
2/16/2014,613.85,24104900
2/17/2014,645.14,48516100
2/18/2014,625.01,22066400
2/19/2014,620.99,13276100
2/20/2014,593.89,35743400
2/21/2014,582.75,56059000
2/22/2014,571.06,21675800
2/23/2014,622.97,44590700
2/24/2014,572.39,47229500
2/25/2014,489.31,111102000
2/26/2014,567.25,75039300
2/27/2014,586.28,38219000
2/28/2014,567.2,24649000
3/1/2014,560.11,22903800
3/2/2014,561.35,11143900
3/3/2014,585.79,33049800
3/4/2014,675,86124600
3/5/2014,658.24,26946700
3/6/2014,654.55,16659800
3/7/2014,617.62,29823000
3/8/2014,610.37,21353000
3/9/2014,636.17,15489000
3/10/2014,621.17,16425700
3/11/2014,624.23,12542300
3/12/2014,638.07,20806300
3/13/2014,639.03,12866600
3/14/2014,629.67,11939800
3/15/2014,638.07,5963930
3/16/2014,629.55,4834240
3/17/2014,623.705,13371500
3/18/2014,612.622,23217800
3/19/2014,610.636,15227500
3/20/2014,592.07,20048500
3/21/2014,582.303,38053400
3/22/2014,561.22,17983700
3/23/2014,567.779,10283000
3/24/2014,571.418,17185800
3/25/2014,582.55,18634700
3/26/2014,584.442,17583200
3/27/2014,567.64,22316700
3/28/2014,503.661,79571600
3/29/2014,502.302,26810900
3/30/2014,469.938,17867800
3/31/2014,457.399,56838500
4/1/2014,478.7163,
4/2/2014,437.515,
4/3/2014,447.0822,
4/4/2014,448.8792,
4/5/2014,464.8259,
4/6/2014,460.7028,
4/7/2014,457.792,9802770
4/8/2014,450.4638,
4/9/2014,440.1983,
4/10/2014,360.8407,
4/11/2014,420.0563,
4/12/2014,420.66,
4/13/2014,414.9495,
4/14/2014,457.6338,
4/15/2014,520.1233,
4/16/2014,529.1625,
4/17/2014,494.4,
4/18/2014,478.2312,
4/19/2014,501.5515,
4/20/2014,497.3177,
4/21/2014,492.6733,
4/22/2014,484.8533,9770190.335
4/23/2014,487.525,8412033.043
4/24/2014,494.2733,9512215.004
4/25/2014,458.8067,44062361.81
4/26/2014,453.8,11997979.87
4/27/2014,437.9216,9760121.835
4/28/2014,436.92,20781687.98
4/29/2014,443.27,15011935.55
4/30/2014,444.9968,13054745.68
5/1/2014,455.0913,11953625.13
5/2/2014,443.4734,8165770.148
5/3/2014,434.0333,9446958.636
5/4/2014,433.9432,5229830.631
5/5/2014,429.0761,8567756.392
5/6/2014,426.7634,10822749.12
5/7/2014,439.3,16360711.04
5/8/2014,437.3633,8491458.546
5/9/2014,447.4933,8820053.293
5/10/2014,452.505,5529665.187
5/11/2014,436.2833,11522907.03
5/12/2014,439.19,5903393.674
5/13/2014,437.305,5619474.109
5/14/2014,444.2467,6764834.291
5/15/2014,444.25,6219944.385
5/16/2014,445.165,5292980.731
5/17/2014,445.8533,2642092.213
5/18/2014,444.2133,7828552.782
5/19/2014,443.87,11697296.02
5/20/2014,483.4167,59415447.48
5/21/2014,488.7717,20125942.25
5/22/2014,522.6083,28758404.01
5/23/2014,524.475,30253343.7
5/24/2014,523.1083,10236386.68
5/25/2014,569.3767,43762384.56
5/26/2014,579.6217,26174591.72
5/27/2014,569.475,33059214.24
5/28/2014,571.5533,15739188.29
5/29/2014,565.26,14362990.94
5/30/2014,621.1467,42271699.64
5/31/2014,620.5,18656368.1
6/1/2014,640.1617,53565199.68
6/2/2014,656.41,41153743.55
6/3/2014,667.3683,37419432.11
6/4/2014,641.1833,43722721.86
6/5/2014,658.1,24809749.57
6/6/2014,648.63,14032413.37
6/7/2014,651.7083,12954147.5
6/8/2014,649.8983,6819173.803
6/9/2014,643.905,15165258
6/10/2014,649.0567,13698528.1
6/11/2014,630.0367,20706208.81
6/12/2014,567.175,41032286.05
6/13/2014,594.6833,37950646.15
6/14/2014,570.0033,33752601.59
6/15/2014,583.41,19377536.88
6/16/2014,592.52,25803391.33
6/17/2014,607.1583,14064824.78
6/18/2014,604.19,14955835.77
6/19/2014,593.3883,11266428.3
6/20/2014,590.055,14899960.97
6/21/2014,591.2567,8304999.79
6/22/2014,595.0367,9952321.043
6/23/2014,586.1483,11249420.62
6/24/2014,582.415,11613405.82
6/25/2014,561.4717,18237241.35
6/26/2014,579.5867,12733876.65
6/27/2014,598.2367,19906418.83
6/28/2014,594.8717,13624207.4
6/29/2014,598.4883,8878656.403
6/30/2014,637.755,47015974.06
7/1/2014,643.935,38496541.69
7/2/2014,648.1075,25992122.17
7/3/2014,640.2838,18539083.75
7/4/2014,627.1288,22418156.55
7/5/2014,627.5813,9292051.769
7/6/2014,631.0025,11187211.13
7/7/2014,619.495,18525910.65
7/8/2014,620.0475,9269839.61
7/9/2014,620.16,9329941.3
7/10/2014,615.1275,15009203.94
7/11/2014,630.835,15836826.82
7/12/2014,633.6389952,13267457.87
7/13/2014,627.4623228,11435029.12
7/14/2014,618.2050265,2646077079
7/15/2014,618.9525,10776372.32
7/16/2014,614.1475,13679053.32
7/17/2014,622.895,14637445.28
7/18/2014,627.0188,14086517.69
7/19/2014,626.1763,7640657.031
7/20/2014,620.5138,4767570.263
7/21/2014,619.9088,8225443.992
7/22/2014,619.0063,7698580.923
7/23/2014,617.9425,9043046.013
7/24/2014,599.8088,24703385.25
7/25/2014,600.0963,20256797.4
7/26/2014,593.775,11443452.29
7/27/2014,590.3788,9300140.747
7/28/2014,585.2788,23117898.16
7/29/2014,581.7138,11790372.33
7/30/2014,560.7913,18397948.92
7/31/2014,583.1821057,23252091.39
8/1/2014,593.8655274,22927176.8
8/2/2014,588.2306992,9260582.608
8/3/2014,585.5731941,9179432.126
8/4/2014,586.3686859,11325982.79
8/5/2014,582.4186268,13046784.25
8/6/2014,583.325,12769922.2
8/7/2014,587.203159,11942668.46
8/8/2014,590.9072702,12277588.53
8/9/2014,588.107856,7934876.355
8/10/2014,588.5004826,8504716.676
8/11/2014,573.4063,16394404.86
8/12/2014,567.4023482,15825348.32
8/13/2014,543.6675,36644669.93
8/14/2014,503.7088,46265624.63
8/15/2014,492.2844983,31123413.36
8/16/2014,521.0463,27941383.43
8/17/2014,494.7813,28596111.8
8/18/2014,459.8863,60758484.53
8/19/2014,484.155,45173284.03
8/20/2014,514.1863,55122051.11
8/21/2014,515.605,47111104.08
8/22/2014,515.8263,34159957.6
8/23/2014,496.5688,23986341.56
8/24/2014,508.1138,18509793.27
8/25/2014,500.3863,15737842.72
8/26/2014,510.6388,21288943.92
8/27/2014,510.4463,21505988.92
8/28/2014,506.915,18467248.49
8/29/2014,508.0963,16001723.63
8/30/2014,501.53,10747408.66
8/31/2014,480.0263,43358429.76
9/1/2014,475.82,19343751.81
9/2/2014,474.6938,21083352.22
9/3/2014,474.7263,14233663.71
9/4/2014,489.5475,23597497.06
9/5/2014,480.2425,14058803.05
9/6/2014,482.3588,9776900.705
9/7/2014,480.6025,7748654.383
9/8/2014,471.125,27618107.42
9/9/2014,471.7538,20218609.3
9/10/2014,477.1138,20792329.42
9/11/2014,476.3775,14579193.13
9/12/2014,473.6875,13395857.32
9/13/2014,476.0013,14007703
9/14/2014,474.795,11468703.33
9/15/2014,473.0313,12723496.88
9/16/2014,462.5925,16956832.82
9/17/2014,454.6238,23179362.99
9/18/2014,423.565,48338347.98
9/19/2014,393.2625,47766762.16
9/20/2014,408.5025,47847915.32
9/21/2014,396.62,32843840.16
9/22/2014,398.3113,24225299.21
9/23/2014,433.7513,57448184.25
9/24/2014,420.92,32689372.44
9/25/2014,407.9775,30733509.97
9/26/2014,402.88,23707503.07
