Date,LTC_price,LTC_volume
12/27/2013,22.4503,33300600
12/28/2013,22.5277,13936600
12/29/2013,23.1105,6729630
12/30/2013,24.8874,16361000
12/31/2013,24.446,8350680
1/1/2014,24.5913,8159590
1/2/2014,25.5234,17790500
1/3/2014,24.144,25401900
1/4/2014,25.2298,12291600
1/5/2014,26.4831,23390300
1/6/2014,29.5781,61315300
1/7/2014,25.2845,39372200
1/8/2014,24.0103,53885400
1/9/2014,24.0718,20295200
1/10/2014,24.5063,9204280
1/11/2014,26.363,25538900
1/12/2014,25.4246,20664900
1/13/2014,23.7879,14368700
1/14/2014,23.7795,14094100
1/15/2014,25.056,11696800
1/16/2014,25.0017,6589470
1/17/2014,23.7499,9157700
1/18/2014,24.0262,6755730
1/19/2014,24.8231,6780230
1/20/2014,25.4841,6207610
1/21/2014,24.7594,4938180
1/22/2014,24.6703,5172120
1/23/2014,23.5596,10488600
1/24/2014,20.8659,26887900
1/25/2014,21.3619,9167740
1/26/2014,23.1017,11689000
1/27/2014,23.0753,12517200
1/28/2014,21.6138,22454900
1/29/2014,21.8387,8451760
1/30/2014,21.245,6156740
1/31/2014,21.6617,6775300
2/1/2014,22.9952,4416580
2/2/2014,22.8897,5700950
2/3/2014,21.7649,3479920
2/4/2014,21.6449,4442980
2/5/2014,21.4874,3391020
2/6/2014,20.3577,8309390
2/7/2014,19.1125,15229300
2/8/2014,18.5533,8138110
2/9/2014,18.4581,6625600
2/10/2014,17.092,23466300
2/11/2014,18.1777,12517100
2/12/2014,17.0879,12838900
2/13/2014,16.412,5799730
2/14/2014,15.9569,23444500
2/15/2014,16.0851,10056400
2/16/2014,15.4229,5110250
2/17/2014,15.7769,7948870
2/18/2014,15.4332,3479380
2/19/2014,15.6621,2194490
2/20/2014,14.7345,6499250
2/21/2014,13.8882,9077900
2/22/2014,14.0435,2944030
2/23/2014,15.7927,11342300
2/24/2014,14.875,7381230
2/25/2014,13.6107,23109600
2/26/2014,14.3143,11621100
2/27/2014,14.1769,5028370
2/28/2014,13.6863,5775470
3/1/2014,13.7268,4091080
3/2/2014,13.1378,2549840
3/3/2014,13.6136,12965400
3/4/2014,16.4496,46057300
3/5/2014,16.1083,12138700
3/6/2014,16.3005,8862560
3/7/2014,15.853,6267080
3/8/2014,15.397,5880260
3/9/2014,16.0151,6731190
3/10/2014,15.8318,5231530
3/11/2014,16.1522,3777160
3/12/2014,17.1924,12127300
3/13/2014,17.0246,4462860
3/14/2014,16.5879,4034760
3/15/2014,16.9373,3102540
3/16/2014,17.3074,5321400
3/17/2014,17.3328,6980580
3/18/2014,19.2724,26579500
3/19/2014,17.5924,35474700
3/20/2014,16.4095,16594700
3/21/2014,15.8585,19233300
3/22/2014,15.809,6232650
3/23/2014,15.4232,2759660
3/24/2014,16.0323,7764140
3/25/2014,16.2767,6918770
3/26/2014,16.2098,5887830
3/27/2014,15.2921,13598300
3/28/2014,14.2691,31210600
3/29/2014,13.7051,6478590
3/30/2014,12.7372,7874500
3/31/2014,12.9836,10445300
4/1/2014,13.32267463,
4/2/2014,11.86978195,
4/3/2014,11.30223802,
4/4/2014,11.19953604,
4/5/2014,11.38823455,
4/6/2014,11.61431759,
4/7/2014,11.4183,3652720
4/8/2014,11.42826661,
4/9/2014,11.17663484,
4/10/2014,8.288510879,
4/11/2014,10.82905141,
4/12/2014,10.7520696,
4/13/2014,10.32809306,
4/14/2014,11.49118472,
4/15/2014,13.36716881,
4/16/2014,13.50951863,
4/17/2014,12.68136,
4/18/2014,12.14707248,
4/19/2014,12.93501319,
4/20/2014,12.66668182,
4/21/2014,12.47941469,
4/22/2014,12.18436343,35650430.45
4/23/2014,12.227127,32110244.51
4/24/2014,12.58914095,68850074.57
4/25/2014,10.9975966,152518276.1
4/26/2014,10.700604,57884564.84
4/27/2014,10.0721968,31854837.99
4/28/2014,10.1496516,56053229.92
4/29/2014,10.4833355,58165163.24
4/30/2014,11.0136708,118507873.2
5/1/2014,11.24075511,48598282.03
5/2/2014,10.68327421,38161387.32
5/3/2014,10.32131187,32826459.03
5/4/2014,10.32784816,22884482.45
5/5/2014,10.25491879,16708116.56
5/6/2014,10.39168879,56655784.96
5/7/2014,10.626667,42844866
5/8/2014,10.5492028,40494325.61
5/9/2014,10.7801136,45581909.01
5/10/2014,10.87369515,21933264.8
5/11/2014,10.38354254,26284256.61
5/12/2014,10.4483301,19320812.09
5/13/2014,10.3903668,10367837.11
5/14/2014,10.52420432,12174617.08
5/15/2014,10.46653,13997836.56
5/16/2014,10.39460275,14992111.46
5/17/2014,10.40175749,5142136.173
5/18/2014,10.35905416,3756212.561
5/19/2014,10.342171,5030870.334
5/20/2014,10.68350907,24503887.11
5/21/2014,10.62589676,17311761.59
5/22/2014,10.66120932,22242187.93
5/23/2014,11.22900975,63515410.23
5/24/2014,11.18928654,20278212.13
5/25/2014,11.52418441,54568011.5
5/26/2014,11.49389831,34061256.82
5/27/2014,11.22435225,27011345.94
5/28/2014,11.04812529,16543438.07
5/29/2014,10.8303816,1529399.614
5/30/2014,11.41667635,6597600.04
5/31/2014,10.939415,4445319.918
6/1/2014,11.13881358,7181921.413
6/2/2014,11.3755853,5893705.692
6/3/2014,11.55881896,4210982.001
6/4/2014,11.06682376,3971661.152
6/5/2014,11.325901,3581709.383
6/6/2014,11.156436,2080504.193
6/7/2014,11.17028026,1699927.779
6/8/2014,11.28873347,596159.1451
6/9/2014,11.1524346,1519227.026
6/10/2014,11.04694503,2359045.963
6/11/2014,10.85553234,1575833.807
6/12/2014,9.82914275,3691702.183
6/13/2014,10.13340343,2588285.575
6/14/2014,9.764156529,2777120.255
6/15/2014,9.9588087,2241807.065
6/16/2014,9.6758516,2617072.633
6/17/2014,9.611315889,2189081.604
6/18/2014,9.66704,1596038.726
6/19/2014,9.411138438,3086407.145
6/20/2014,9.3582723,1574996.221
