Date,RE_ETF,Volume
4/29/2013,58.683884,4371600
4/30/2013,59.256599,7901100
5/1/2013,58.853271,19735200
5/2/2013,59.07914,4746700
5/3/2013,59.127533,6804300
5/6/2013,59.361481,4539300
5/7/2013,59.708321,7326500
5/8/2013,59.853519,5550500
5/9/2013,59.546997,12540900
5/10/2013,59.563133,4807500
5/13/2013,59.651863,5141500
5/14/2013,59.966446,6114500
5/15/2013,60.498856,12938900
5/16/2013,60.30526,11084100
5/17/2013,60.684383,11377800
5/20/2013,60.652103,6560000
5/21/2013,60.934444,5619400
5/22/2013,59.426006,26250400
5/23/2013,58.595139,17882300
5/24/2013,58.369286,11804000
5/28/2013,57.788494,15416700
5/29/2013,56.634987,23698500
5/30/2013,56.094536,13778600
5/31/2013,55.408867,20832400
6/3/2013,55.546017,25223500
6/4/2013,54.900688,17821400
6/5/2013,54.311821,19959500
6/6/2013,55.328194,21649800
6/7/2013,55.295944,16045900
6/10/2013,54.811951,17666100
6/11/2013,53.973034,17765800
6/12/2013,53.182526,16537000
6/13/2013,54.80389,21085000
6/14/2013,54.941029,13991400
6/17/2013,55.013618,10786100
6/18/2013,55.102348,14319100
6/19/2013,53.448719,34471300
6/20/2013,51.359489,31601500
6/21/2013,51.964474,24105500
6/24/2013,51.633743,30133200
6/25/2013,52.585594,18040500
6/26/2013,53.372131,16898500
6/27/2013,54.324776,13893800
6/28/2013,54.088638,12025100
7/1/2013,53.803673,14941100
7/2/2013,54.430611,12520400
7/3/2013,54.194496,8076200
7/5/2013,53.624546,16119500
7/8/2013,53.836254,6958000
7/9/2013,54.520187,9422400
7/10/2013,54.520187,10060200
7/11/2013,56.026493,16742100
7/12/2013,55.660088,10555600
7/15/2013,55.86364,6986300
7/16/2013,55.77409,6891000
7/17/2013,56.067211,14463800
7/18/2013,56.417316,7176600
7/19/2013,56.360332,7701100
7/22/2013,56.523159,4684700
7/23/2013,56.498741,4930000
7/24/2013,55.399555,13685200
7/25/2013,55.3344,10019400
7/26/2013,55.480968,5577000
7/29/2013,55.041283,6999900
7/30/2013,54.976143,6200400
7/31/2013,54.218914,17578300
8/1/2013,53.917664,12801700
8/2/2013,53.681538,16858500
8/5/2013,53.648972,5471400
8/6/2013,53.461697,5899900
8/7/2013,53.241859,6218300
8/8/2013,53.290707,6905300
8/9/2013,53.795525,6247000
8/12/2013,53.355843,8185500
8/13/2013,52.623047,10889000
8/14/2013,52.50906,13474200
8/15/2013,51.515709,17106100
8/16/2013,50.32695,22158900
8/19/2013,49.643009,15340000
8/20/2013,50.807346,20078000
8/21/2013,50.701492,19768900
8/22/2013,50.986473,15039600
8/23/2013,51.580841,9662400
8/26/2013,51.385426,5527400
8/27/2013,51.230724,7907000
8/28/2013,50.986473,5761700
8/29/2013,51.06789,4663600
8/30/2013,50.677059,6533700
9/3/2013,50.25367,12854500
9/4/2013,50.611931,11140200
9/5/2013,50.180397,7406700
9/6/2013,51.10046,12815100
9/9/2013,52.110085,11123300
9/10/2013,52.044952,8889000
9/11/2013,52.403202,9867700
9/12/2013,52.069374,9121300
9/13/2013,52.183365,8046000
9/16/2013,52.696335,13644600
9/17/2013,52.655621,8761600
9/18/2013,54.495762,37540300
9/19/2013,54.284054,20322800
9/20/2013,53.347702,17910100
9/23/2013,53.00573,12152500
9/24/2013,52.655777,13075000
9/25/2013,52.836582,9013600
9/26/2013,53.157108,4380700
9/27/2013,52.959854,5971100
9/30/2013,52.425655,9374800
10/1/2013,53.222851,16465300
10/2/2013,53.255726,11800100
10/3/2013,52.433876,23591100
10/4/2013,52.244846,13296400
10/7/2013,52.474964,7675500
10/8/2013,51.875019,9526700
10/9/2013,51.858578,9436400
10/10/2013,53.099575,23726100
10/11/2013,53.609112,11282500
10/14/2013,53.592674,15004400
10/15/2013,53.42009,8338500
10/16/2013,54.38987,16177500
10/17/2013,55.228161,19146900
10/18/2013,55.121315,11933200
10/21/2013,54.833679,9373400
10/22/2013,55.417175,10465300
10/23/2013,55.532238,13218500
10/24/2013,55.49115,6881800
10/25/2013,56.033562,7983500
10/28/2013,55.647297,8219400
10/29/2013,55.178852,8522000
10/30/2013,54.776142,7474200
10/31/2013,54.381653,9070700
11/1/2013,54.726826,16618700
11/4/2013,54.800797,4092900
11/5/2013,53.970734,9774500
11/6/2013,53.962517,4892000
11/7/2013,53.305031,9769500
11/8/2013,52.590031,17449800
11/11/2013,52.548935,6158600
11/12/2013,52.368126,10349700
11/13/2013,52.737953,6905000
11/14/2013,53.157108,7918300
11/15/2013,53.288593,11699600
11/18/2013,52.91877,6279000
11/19/2013,52.51606,8551800
11/20/2013,52.055828,10075700
11/21/2013,52.335255,7412500
11/22/2013,52.179096,5750500
11/25/2013,51.957203,5823800
11/26/2013,51.80928,6277300
11/27/2013,52.343475,5205300
11/29/2013,51.858578,4961700
12/2/2013,51.587379,9128400
12/3/2013,51.529846,7106800
12/4/2013,51.644897,15225500
12/5/2013,51.702435,11587100
12/6/2013,52.105137,9929900
12/9/2013,52.442097,9697700
12/10/2013,52.442097,6791800
12/11/2013,51.307938,13703100
12/12/2013,50.962769,8008900
12/13/2013,51.168232,5952900
12/16/2013,51.225761,6769100
12/17/2013,51.49696,7415100
12/18/2013,52.401001,20907600
12/19/2013,51.759972,12584500
12/20/2013,52.162663,14497800
12/23/2013,52.236397,8197500
12/24/2013,52.327641,3641500
12/26/2013,52.385712,4603100
12/27/2013,52.452065,11549200
12/30/2013,52.493549,3941800
12/31/2013,52.327641,6767300
1/2/2014,52.244698,10310500
1/3/2014,52.55162,6368400
1/6/2014,52.767307,7108000
1/7/2014,52.94981,9676100
1/8/2014,52.866852,9098800
1/9/2014,52.841965,8012900
1/10/2014,53.472416,13050800
1/13/2014,53.124016,8248200
1/14/2014,53.455822,5319500
1/15/2014,53.704689,7612600
1/16/2014,53.829121,11237800
1/17/2014,53.654922,8539200
1/21/2014,54.02821,10145000
1/22/2014,54.169243,8165500
1/23/2014,54.144341,10437200
1/24/2014,53.347988,13019600
1/27/2014,53.024464,11158300
1/28/2014,53.563667,7727800
1/29/2014,53.314804,9226100
1/30/2014,53.961857,9384200
1/31/2014,54.127758,12207500
2/3/2014,53.339699,16058300
2/4/2014,53.895485,16129900
2/5/2014,53.878895,12270400
2/6/2014,54.277081,10567500
2/7/2014,54.642082,10915400
2/10/2014,55.139797,12611400
2/11/2014,55.330589,13250700
2/12/2014,55.363773,6358300
2/13/2014,55.579456,10486100
2/14/2014,55.803429,6953700
2/18/2014,56.135246,12370800
2/19/2014,56.11866,13736700
2/20/2014,56.019108,7509200
2/21/2014,56.110367,8399400
2/24/2014,56.201614,11196700
2/25/2014,56.226509,6091200
2/26/2014,56.384121,10265300
2/27/2014,56.32605,5632900
2/28/2014,56.699341,14613500
3/3/2014,56.740826,11517800
3/4/2014,57.437634,15107900
3/5/2014,57.362976,12690500
3/6/2014,57.08923,8717000
3/7/2014,56.442188,14545300
3/10/2014,56.234798,11747500
3/11/2014,56.541729,10502200
3/12/2014,56.666157,6888400
3/13/2014,56.483665,9383600
3/14/2014,56.500244,8557400
3/17/2014,56.591499,9020200
3/18/2014,56.84037,10663100
3/19/2014,55.836617,16403800
3/20/2014,55.911282,15716900
3/21/2014,56.367527,18908000
3/24/2014,56.035702,10919300
3/25/2014,56.446423,10306800
3/26/2014,55.817101,10498200
3/27/2014,56.085606,8288600
3/28/2014,56.454826,8326600
3/31/2014,56.782066,8762400
4/1/2014,57.142891,15963700
4/2/2014,57.151276,10488700
4/3/2014,56.949883,10216600
4/4/2014,57.176456,12050300
4/7/2014,57.235188,15098800
4/8/2014,57.554039,8741500
4/9/2014,57.512089,7283500
4/10/2014,57.000233,8403900
4/11/2014,56.656212,9716100
4/14/2014,56.865974,10463400
4/15/2014,57.470135,10085800
4/16/2014,57.814178,9370800
4/17/2014,57.654743,16927900
4/21/2014,57.898075,8530200
4/22/2014,58.091072,6935500
4/23/2014,57.914856,4599600
4/24/2014,58.107849,6275800
4/25/2014,57.906467,5370400
4/28/2014,58.208561,10062200
4/29/2014,58.242111,4539100
4/30/2014,58.502232,6472600
5/1/2014,58.955341,16973700
5/2/2014,58.930183,9439500
5/5/2014,59.13995,12375000
5/6/2014,58.92178,7561800
5/7/2014,59.609848,16037200
5/8/2014,59.643425,8538700
5/9/2014,59.635017,5697000
5/12/2014,59.760883,5852900
5/13/2014,59.408466,9089000
5/14/2014,59.559502,8881100
5/15/2014,59.458813,19027700
5/16/2014,59.895134,12725700
5/19/2014,59.676979,7203000
5/20/2014,59.492378,4401400
5/21/2014,59.257431,6551900
5/22/2014,59.207077,6768400
5/23/2014,59.651802,5231400
5/27/2014,60.012611,7870600
5/28/2014,59.769279,7279400
5/29/2014,59.844799,4650500
5/30/2014,60.138481,11869100
6/2/2014,60.24757,8329500
6/3/2014,60.172039,4321300
6/4/2014,60.230782,14897800
6/5/2014,61.170574,19628800
6/6/2014,61.044724,7067900
6/9/2014,60.390217,8543900
6/10/2014,60.079742,14633400
6/11/2014,59.836407,11071200
6/12/2014,59.660194,11311100
6/13/2014,59.811226,5871800
6/16/2014,59.509151,11354100
6/17/2014,59.576286,5946000
6/18/2014,59.945496,12276900
6/19/2014,60.406982,8030000
6/20/2014,60.616772,9347500
6/23/2014,60.474136,7420400
6/24/2014,60.501839,6881800
6/25/2014,60.501839,7041800
6/26/2014,60.434135,5258500
6/27/2014,60.797966,6817900
6/30/2014,60.747211,8877300
7/1/2014,60.899529,7629500
7/2/2014,60.831833,8719400
7/3/2014,60.54414,5647500
7/7/2014,60.603371,9888700
7/8/2014,60.789528,9211300
7/9/2014,60.924911,6034300
7/10/2014,61.119537,9408700
7/11/2014,61.161842,4181600
7/14/2014,61.441074,11197000
7/15/2014,61.424168,5842900
7/16/2014,61.652622,14368800
7/17/2014,61.288776,7140300
7/18/2014,61.830311,9755300
7/21/2014,61.652622,4800800
7/22/2014,61.91494,7678700
7/23/2014,62.050335,5012100
7/24/2014,61.889561,7350400
7/25/2014,61.542629,7043100
7/28/2014,61.91494,7385900
7/29/2014,61.627239,5042400
7/30/2014,61.568012,10712100
7/31/2014,60.679523,15782800
8/1/2014,60.561047,14631500
8/4/2014,60.924911,8981900
8/5/2014,60.383358,15723600
8/6/2014,60.493362,9586500
8/7/2014,60.586437,6944400
8/8/2014,61.043373,6750200
8/11/2014,61.38184,9721300
8/12/2014,61.204166,3882900
8/13/2014,61.965721,5739400
8/14/2014,61.948792,6522600
8/15/2014,62.00803,9707600
8/18/2014,62.583412,15038000
8/19/2014,62.634182,7827000
8/20/2014,62.938812,15038100
8/21/2014,62.879574,4645100
8/22/2014,62.456486,8299600
8/25/2014,62.431099,7306100
8/26/2014,62.431099,3133800
8/27/2014,62.532642,2845500
8/28/2014,62.473427,4091100
8/29/2014,62.786499,6178900
9/2/2014,62.820351,5386100
9/3/2014,62.837284,8656900
9/4/2014,62.718819,10887000
9/5/2014,63.311131,13249500
9/8/2014,63.201122,8470200
9/9/2014,62.862667,7008100
9/10/2014,61.991089,14574000
9/11/2014,62.067257,6952900
9/12/2014,60.281807,26158100
9/15/2014,60.036419,10270100
9/16/2014,60.484901,12545200
9/17/2014,60.442596,18717900
9/18/2014,60.00259,14133700
9/19/2014,60.036419,12906500
9/22/2014,59.503319,16170500
9/23/2014,59.16486,8117200
9/24/2014,59.105083,14179000
9/25/2014,58.814766,13587200
9/26/2014,59.463711,11235300
9/29/2014,59.446636,10652300
9/30/2014,59.087997,13406000
10/1/2014,59.122147,15034400
10/2/2014,59.028233,11962700
10/3/2014,59.429543,6240600
10/6/2014,59.506397,11312400
10/7/2014,59.156311,9329100
10/8/2014,60.283421,13191700
10/9/2014,60.206573,18339100
10/10/2014,60.121178,11216900
10/13/2014,60.018726,10469700
10/14/2014,60.923832,15145100
10/15/2014,60.496887,16837100
10/16/2014,60.659119,19074200
10/17/2014,60.966526,10453600
10/20/2014,61.837479,12469500
10/21/2014,62.42664,8566600
10/22/2014,62.401028,20312600
10/23/2014,62.870667,7534300
10/24/2014,62.896271,6597300
10/27/2014,63.271976,9239800
10/28/2014,63.476913,5138800
10/29/2014,63.007267,17115000
10/30/2014,63.545219,9229400
10/31/2014,64.023399,11739400
11/3/2014,64.518646,12949400
11/4/2014,64.595482,9954600
11/5/2014,64.595482,15315300
11/6/2014,64.32225,9263600
11/7/2014,64.271027,11903100
11/10/2014,64.561333,5578800
11/11/2014,64.399117,4006400
11/12/2014,64.066086,6982900
11/13/2014,64.32225,4929900
11/14/2014,63.929474,10126800
11/17/2014,64.168556,5108100
11/18/2014,64.475922,8649400
11/19/2014,64.074623,6087700
11/20/2014,64.253937,5225700
11/21/2014,64.723564,11641500
11/24/2014,64.91143,6410800
11/25/2014,65.090744,5977200
11/26/2014,65.577431,24093400
11/28/2014,65.765297,6364800
12/1/2014,65.526215,6441100
12/2/2014,65.756752,8905700
12/3/2014,65.696991,6650400
12/4/2014,65.799454,11707200
12/5/2014,65.457909,18115200
12/8/2014,65.748215,13087400
12/9/2014,65.970222,8587200
12/10/2014,65.816536,8776700
12/11/2014,65.876305,11043400
12/12/2014,65.27858,12861800
12/15/2014,64.510094,10420800
12/16/2014,64.211243,14201200
12/17/2014,65.645737,18752800
12/18/2014,66.234932,14002900
12/19/2014,66.371544,9311400
12/22/2014,67.4645,15917300
12/23/2014,67.122948,9392600
12/24/2014,66.84726,4057500
12/26/2014,67.106102,2903000
12/29/2014,67.399437,3913300
12/30/2014,67.330414,7674500
12/31/2014,66.295074,9269300
1/2/2015,67.114716,12872400
1/5/2015,67.339043,17764500
1/6/2015,67.830833,12123800
1/7/2015,68.710854,10974600
1/8/2015,69.099075,10111700
1/9/2015,69.124977,7300400
1/12/2015,69.504578,7149400
1/13/2015,69.323395,12015700
1/14/2015,69.780663,10170100
1/15/2015,69.875572,12157200
1/16/2015,70.470879,12006100
1/20/2015,69.918716,13477600
1/21/2015,69.815186,6809800
1/22/2015,71.178345,10639600
1/23/2015,71.031685,5032700
1/26/2015,71.73053,8672500
1/27/2015,71.635628,4193200
1/28/2015,71.126595,12341600
1/29/2015,71.247391,6878100
1/30/2015,70.082626,10085200
2/2/2015,69.858315,24404900
2/3/2015,70.505409,9980300
2/4/2015,70.298332,7781900
2/5/2015,71.031685,10348300
2/6/2015,69.159477,16524700
2/9/2015,68.831627,8727900
2/10/2015,69.073181,9174000
2/11/2015,68.926529,7335800
2/12/2015,69.66851,9485200
2/13/2015,69.288887,8445900
2/17/2015,69.090462,12515000
2/18/2015,69.677147,14071100
2/19/2015,68.34848,12481500
2/20/2015,68.978294,11002900
2/23/2015,69.521851,13375200
2/24/2015,68.210426,20616400
2/25/2015,68.357109,10763300
2/26/2015,67.779045,9507800
2/27/2015,68.262199,8342300
3/2/2015,68.529655,14633600
3/3/2015,68.34848,9993100
3/4/2015,67.779045,8213300
3/5/2015,68.003365,10927900
3/6/2015,65.932732,20520000
3/9/2015,66.519386,9657400
3/10/2015,66.191551,12368700
3/11/2015,66.286469,8404700
3/12/2015,67.382164,8212300
3/13/2015,67.131973,6949400
3/16/2015,67.865334,7447800
3/17/2015,67.804932,9367700
3/18/2015,69.14222,18567000
3/19/2015,69.038681,11850700
3/20/2015,70.712456,17722200
3/23/2015,70.608932,7315900
3/24/2015,70.039505,12777500
3/25/2015,68.882607,15304100
3/26/2015,68.491188,10719700
3/27/2015,68.726036,7472600
3/30/2015,69.500183,11187600
3/31/2015,68.995674,7088100
4/1/2015,68.986977,11380500
4/2/2015,69.44799,9027900
4/6/2015,70.143867,10547300
4/7/2015,69.004395,9165700
4/8/2015,69.195755,5823400
4/9/2015,67.977974,10568000
