Date,Ripple_price,Ripple_volume
12/27/2013,0.0264432,133863
12/28/2013,0.0273354,139954
12/29/2013,0.0272621,51404
12/30/2013,0.0276683,69671
12/31/2013,0.0274381,63399
1/1/2014,0.0270432,55836
1/2/2014,0.028997,118745
1/3/2014,0.0276943,89287
1/4/2014,0.0280872,60288
1/5/2014,0.0249197,195215
1/6/2014,0.0255103,180323
1/7/2014,0.0237737,75928
1/8/2014,0.0231652,79840
1/9/2014,0.0226096,98533
1/10/2014,0.0225619,62956
1/11/2014,0.0239417,69314
1/12/2014,0.0221986,42787
1/13/2014,0.0216556,15322
1/14/2014,0.021214,41972
1/15/2014,0.0222549,25227
1/16/2014,0.0210663,57725
1/17/2014,0.0204377,72247
1/18/2014,0.0211652,23502
1/19/2014,0.0213437,17951
1/20/2014,0.0207658,69046
1/21/2014,0.0199247,65473
1/22/2014,0.0199726,80476
1/23/2014,0.0191161,81644
1/24/2014,0.0182854,111662
1/25/2014,0.0185526,108301
1/26/2014,0.0191786,84073
1/27/2014,0.0204128,66064
1/28/2014,0.0209537,132292
1/29/2014,0.0204254,82655
1/30/2014,0.0203404,29239
1/31/2014,0.0203371,82570
2/1/2014,0.0206331,110279
2/2/2014,0.0208784,121498
2/3/2014,0.0214641,92102
2/4/2014,0.0214894,82358
2/5/2014,0.0208163,51553
2/6/2014,0.020027,91009
2/7/2014,0.0183476,94078
2/8/2014,0.0184492,137345
2/9/2014,0.0173264,46602
2/10/2014,0.0177394,78993
2/11/2014,0.0182464,135739
2/12/2014,0.0172474,84918
2/13/2014,0.0167991,64686
2/14/2014,0.0157666,104394
2/15/2014,0.0159131,158770
2/16/2014,0.0161888,81918
2/17/2014,0.015269,84985
2/18/2014,0.0153238,115312
2/19/2014,0.0152173,191498
2/20/2014,0.0153568,223546
2/21/2014,0.0145808,188522
2/22/2014,0.0147336,93763
2/23/2014,0.0156294,88774
2/24/2014,0.0149639,63366
2/25/2014,0.0113426,122708
2/26/2014,0.0137323,175388
2/27/2014,0.0138436,151039
2/28/2014,0.0141288,29209
3/1/2014,0.0138003,164650
3/2/2014,0.0136833,79966
3/3/2014,0.0139152,85549
3/4/2014,0.015657,231513
3/5/2014,0.0158142,84658
3/6/2014,0.0160143,137670
3/7/2014,0.0152577,165546
3/8/2014,0.0147279,108130
3/9/2014,0.0145256,12954
3/10/2014,0.0144892,17615
3/11/2014,0.0147453,107847
3/12/2014,0.0143696,239703
3/13/2014,0.0143613,48143
3/14/2014,0.0142599,120309
3/15/2014,0.0143668,65615
3/16/2014,0.0143675,50259
3/17/2014,0.0140547,106374
3/18/2014,0.0136943,102741
3/19/2014,0.014008,109271
3/20/2014,0.0136985,72733
3/21/2014,0.0133853,219999
3/22/2014,0.0129715,100693
3/23/2014,0.0127485,179944
3/24/2014,0.0125302,113405
3/25/2014,0.0127123,95987
3/26/2014,0.0127315,158163
3/27/2014,0.0110146,229366
3/28/2014,0.010733,267406
3/29/2014,0.0105044,195563
3/30/2014,0.00997515,124124
3/31/2014,0.00905744,203590
