Date,BTC_supply
12/7/2018,17410487.5
12/6/2018,17408800
12/5/2018,17407175
12/4/2018,17405450
12/3/2018,17404025
12/2/2018,17402600
12/1/2018,17401050
11/30/2018,17399787.5
11/29/2018,17398475
11/28/2018,17397000
11/27/2018,17395362.5
11/26/2018,17393975
11/25/2018,17392387.5
11/24/2018,17390600
11/23/2018,17389037.5
11/22/2018,17387512.5
11/21/2018,17386200
11/20/2018,17384550
11/19/2018,17382975
11/18/2018,17381437.5
11/17/2018,17379625
11/16/2018,17378050
11/15/2018,17376462.5
11/14/2018,17374775
11/13/2018,17373275
11/12/2018,17371525
11/11/2018,17369700
11/10/2018,17368062.5
11/9/2018,17366475
11/8/2018,17364962.5
11/7/2018,17363337.5
11/6/2018,17361737.5
11/5/2018,17359937.5
11/4/2018,17358400
11/3/2018,17356387.5
11/2/2018,17354600
11/1/2018,17352675
10/31/2018,17350637.5
10/30/2018,17348712.5
10/29/2018,17346887.5
10/28/2018,17345137.5
10/27/2018,17343437.5
10/26/2018,17341650
10/25/2018,17339937.5
10/24/2018,17338525
10/23/2018,17336600
10/22/2018,17334662.5
10/21/2018,17332937.5
10/20/2018,17331150
10/19/2018,17329375
10/18/2018,17327650
10/17/2018,17325925
10/16/2018,17324237.5
10/15/2018,17322212.5
10/14/2018,17320787.5
10/13/2018,17319025
10/12/2018,17317375
10/11/2018,17315387.5
10/10/2018,17313587.5
10/9/2018,17311962.5
10/8/2018,17310275
10/7/2018,17308500
10/6/2018,17306937.5
10/5/2018,17305312.5
10/4/2018,17303437.5
10/3/2018,17301625
10/2/2018,17299912.5
10/1/2018,17297937.5
9/30/2018,17295900
9/29/2018,17294000
9/28/2018,17292075
9/27/2018,17290287.5
9/26/2018,17288550
9/25/2018,17286437.5
9/24/2018,17284587.5
9/23/2018,17282712.5
9/22/2018,17280775
9/21/2018,17278975
9/20/2018,17277050
9/19/2018,17275100
9/18/2018,17273325
9/17/2018,17271637.5
9/16/2018,17269900
9/15/2018,17268150
9/14/2018,17266500
9/13/2018,17264650
9/12/2018,17262550
9/11/2018,17260787.5
9/10/2018,17259100
9/9/2018,17257062.5
9/8/2018,17255187.5
9/7/2018,17253287.5
9/6/2018,17251412.5
9/5/2018,17249762.5
9/4/2018,17248187.5
9/3/2018,17246387.5
9/2/2018,17244587.5
9/1/2018,17242700
8/31/2018,17240762.5
8/30/2018,17238837.5
8/29/2018,17237100
8/28/2018,17235187.5
8/27/2018,17232875
8/26/2018,17230712.5
8/25/2018,17229025
8/24/2018,17227200
8/23/2018,17225337.5
8/22/2018,17223337.5
8/21/2018,17221487.5
8/20/2018,17219612.5
8/19/2018,17217800
8/18/2018,17215800
