DATE,USDINREx
4/29/2013,54.2
4/30/2013,53.68
5/1/2013,53.65
5/2/2013,53.79
5/3/2013,53.8
5/6/2013,54.13
5/7/2013,54.06
5/8/2013,54.08
5/9/2013,54.34
5/10/2013,54.94
5/13/2013,54.85
5/14/2013,54.5
5/15/2013,54.78
5/16/2013,54.68
5/17/2013,55.17
5/20/2013,55.02
5/21/2013,55.42
5/22/2013,55.62
5/23/2013,55.7
5/24/2013,55.78
5/27/2013,.
5/28/2013,56.07
5/29/2013,56.28
5/30/2013,56.5
5/31/2013,56.5
6/3/2013,56.66
6/4/2013,56.43
6/5/2013,56.84
6/6/2013,56.92
6/7/2013,56.57
6/10/2013,58.13
6/11/2013,58.34
6/12/2013,57.82
6/13/2013,58.07
6/14/2013,57.56
6/17/2013,57.97
6/18/2013,58.79
6/19/2013,58.7
6/20/2013,59.57
6/21/2013,59.43
6/24/2013,59.8
6/25/2013,59.66
6/26/2013,60.7
6/27/2013,60.19
6/28/2013,59.52
7/1/2013,59.38
7/2/2013,59.54
7/3/2013,60.21
7/4/2013,.
7/5/2013,60.23
7/8/2013,60.75
7/9/2013,60.09
7/10/2013,59.88
7/11/2013,59.82
7/12/2013,59.88
7/15/2013,59.89
7/16/2013,59.29
7/17/2013,59.34
7/18/2013,59.59
7/19/2013,59.37
7/22/2013,59.71
7/23/2013,59.64
7/24/2013,59.14
7/25/2013,59.01
7/26/2013,59.08
7/29/2013,59.33
7/30/2013,60.8
7/31/2013,60.77
8/1/2013,60.45
8/2/2013,60.88
8/5/2013,60.88
8/6/2013,60.78
8/7/2013,61.2
8/8/2013,60.72
8/9/2013,60.34
8/12/2013,61.15
8/13/2013,61.33
8/14/2013,61.27
8/15/2013,61.41
8/16/2013,61.65
8/19/2013,63.13
8/20/2013,63.21
8/21/2013,64.11
8/22/2013,64.55
8/23/2013,63.22
8/26/2013,64.26
8/27/2013,66.24
8/28/2013,68.8
8/29/2013,66.55
8/30/2013,65.71
9/2/2013,.
9/3/2013,67.71
9/4/2013,67.08
9/5/2013,66.01
9/6/2013,65.23
9/9/2013,65.24
9/10/2013,63.83
9/11/2013,63.26
9/12/2013,63.42
9/13/2013,63.36
9/16/2013,62.83
9/17/2013,63.36
9/18/2013,63.37
9/19/2013,61.76
9/20/2013,62.27
9/23/2013,62.57
9/24/2013,62.72
9/25/2013,62.2
9/26/2013,61.68
9/27/2013,62.48
9/30/2013,62.58
10/1/2013,62.46
10/2/2013,62.46
10/3/2013,61.97
10/4/2013,61.42
10/7/2013,61.79
10/8/2013,61.79
10/9/2013,61.92
10/10/2013,61.3
10/11/2013,61.07
10/14/2013,.
10/15/2013,61.84
10/16/2013,61.72
10/17/2013,61.13
10/18/2013,61.26
10/21/2013,61.56
10/22/2013,61.64
10/23/2013,61.54
10/24/2013,61.48
10/25/2013,61.4
10/28/2013,61.54
10/29/2013,61.34
10/30/2013,61.09
10/31/2013,61.61
11/1/2013,61.84
11/4/2013,61.74
11/5/2013,61.76
11/6/2013,62.48
11/7/2013,62.41
11/8/2013,62.48
11/11/2013,.
11/12/2013,63.73
11/13/2013,63.28
11/14/2013,63.12
11/15/2013,62.97
11/18/2013,62.07
11/19/2013,62.26
11/20/2013,62.34
11/21/2013,62.94
11/22/2013,62.72
11/25/2013,62.37
