DATE,USDYenEx
4/29/2013,98.09
4/30/2013,97.52
5/1/2013,97.28
5/2/2013,97.96
5/3/2013,99.1
5/6/2013,99.35
5/7/2013,99
5/8/2013,98.9
5/9/2013,99.29
5/10/2013,101.74
5/13/2013,101.84
5/14/2013,102.18
5/15/2013,102.44
5/16/2013,102.22
5/17/2013,102.98
5/20/2013,102.54
5/21/2013,102.36
5/22/2013,103.52
5/23/2013,101.66
5/24/2013,100.98
5/27/2013,.
5/28/2013,102.07
5/29/2013,100.91
5/30/2013,101.06
5/31/2013,100.83
6/3/2013,99.18
6/4/2013,100.15
6/5/2013,99.16
6/6/2013,97.76
6/7/2013,97.2
6/10/2013,98.88
6/11/2013,96.82
6/12/2013,95.36
6/13/2013,94.29
6/14/2013,94.34
6/17/2013,94.87
6/18/2013,95.2
6/19/2013,95.22
6/20/2013,98.18
6/21/2013,97.48
6/24/2013,97.7
6/25/2013,97.87
6/26/2013,97.43
6/27/2013,98.4
6/28/2013,99.21
7/1/2013,99.62
7/2/2013,100.43
7/3/2013,99.82
7/4/2013,.
7/5/2013,100.94
7/8/2013,101.07
7/9/2013,101.08
7/10/2013,100.1
7/11/2013,98.8
7/12/2013,99.39
7/15/2013,100.04
7/16/2013,99.37
7/17/2013,99.7
7/18/2013,100.6
7/19/2013,100.3
7/22/2013,99.6
7/23/2013,99.76
7/24/2013,100.21
7/25/2013,99.56
7/26/2013,98.24
7/29/2013,97.8
7/30/2013,98.02
7/31/2013,98.35
8/1/2013,99.3
8/2/2013,99.04
8/5/2013,98.54
8/6/2013,97.85
8/7/2013,96.72
8/8/2013,96.03
8/9/2013,96.24
8/12/2013,96.44
8/13/2013,98.06
8/14/2013,98.15
8/15/2013,97.81
8/16/2013,97.6
8/19/2013,97.94
8/20/2013,97.12
8/21/2013,97.66
8/22/2013,98.53
8/23/2013,98.57
8/26/2013,98.64
8/27/2013,97.3
8/28/2013,97.65
8/29/2013,98.46
8/30/2013,98.22
9/2/2013,.
9/3/2013,99.43
9/4/2013,99.61
9/5/2013,100.08
9/6/2013,99.04
9/9/2013,99.55
9/10/2013,100.22
9/11/2013,100.08
9/12/2013,99.24
9/13/2013,99.38
9/16/2013,98.98
9/17/2013,99.16
9/18/2013,99.04
9/19/2013,99.33
9/20/2013,99.38
9/23/2013,98.76
9/24/2013,98.76
9/25/2013,98.62
9/26/2013,98.95
9/27/2013,98.3
9/30/2013,98.29
10/1/2013,98.05
10/2/2013,97.36
10/3/2013,97.08
10/4/2013,97.2
10/7/2013,97.02
10/8/2013,96.94
10/9/2013,97.23
10/10/2013,98.09
10/11/2013,98.42
10/14/2013,.
10/15/2013,98.58
10/16/2013,98.9
10/17/2013,97.85
10/18/2013,97.77
10/21/2013,98.14
10/22/2013,98.18
10/23/2013,97.28
10/24/2013,97.36
10/25/2013,97.46
10/28/2013,97.7
